Rank,Country,Export,Import,Location,GDP,Growth,Population,Capita,Share,Export_vals,Import_vals
30,Nigeria,"India, Spain, US, France, SA","China, Netherlands, SK, Belgium, India",Africa,"$375,745,486,521 ",0.81%,"190,873,244","$1,969 ",0.46%,"10, 6.12, 5.74, 4.02, 3.87"," 13.4,5,4.76,3.37,2.76"
31,Israel,"US, China, China, UK, Germany","US, China, Turkey, Germany, Russia",Middle East,"$353,268,411,919 ",3.33%,"8,243,848","$42,852 ",0.44%,"19, 5.15, 3.03, 2.19, 2.17"," 10.3,9.92,6.35,5.35,4.21"
32,SA,"China, UK, US, Germany, India","China, Germany, US, Saudi, India",Africa,"$348,871,647,960 ",1.32%,"57,009,756","$6,120 ",0.43%,"18.1, 8.81, 7.92, 7.18, 7.13"," 17.3,10.3,5.5,5.45,4.38"
33,HK,"China, India, Vietnam, Netherlands, Taiwan","China, SK, Taiwan, Singapore, US",Asia,"$341,449,340,451 ",3.79%,"7,306,322","$46,733 ",0.42%,"25.3, 16, 10.5, 7.05, 6.26"," 282,44.5,42,41.5, 33.6"
34,Ireland,"US, UK, Belgium, Germany, Switzerland","UK, US, Germany, Netherlands, France",Europe,"$331,430,014,003 ",7.80%,"4,753,279","$69,727 ",0.41%,"49.3, 18.5, 17, 12.7, 8.74"," 27.4,17.7,14.2,4.54,4.4"
35,Denmark,"Germany, Sweden, US, UK, Norway","Germany, Sweden, Netherlands, China, Norway",Europe,"$329,865,537,183 ",2.24%,"5,732,274","$57,545 ",0.41%,"15.5, 11.2, 8.57, 7.78, 5.74"," 22.6,11.2,7.71,6.9,5.52"
36,Singapore,"China, HK, Malaysia, Indonesia, US","China, Malaysia, US, Taiwan, Japan",Asia,"$323,907,234,412 ",3.62%,"5,708,041","$56,746 ",0.40%,"44.3, 41.5, 32.3, 24.8, 24.6"," 47.2,36.8,28.9,22,17.8"
37,Malaysia,"Singapore, China, US, HK, Japan","China, Singapore, Japan, US, Thailand",Asia,"$314,710,259,511 ",5.90%,"31,104,646","$10,118 ",0.39%,"36.8, 36.1, 28.3, 19.5, 17.2"," 45,32.3,13.6,12.4,11.8"
38,Colombia,"US, China, China, China, Turkey","US, China, Mexico, Brazil, Germany",South America,"$314,457,601,860 ",1.79%,"48,909,839","$6,429 ",0.39%,"11.5, 4.07, 3.07, 1.86, 1.7","  13.6,9.68,3.77,2.86,1.82"
39,Philippines,"HK, US, China, Japan, Singapore","China, SK, Japan, Taiwan, US",Asia,"$313,595,208,737 ",6.68%,"105,172,925","$2,982 ",0.39%,"13.9, 13.8, 13.3, 11.2, 7.92"," 32.3,12.6,11.6,10.2, 9.15"
40,Pakistan,"US, China, Germany, Germany, UK","China, UAE, Saudi, US, Indonesia",Middle East,"$304,951,818,494 ",5.70%,"207,906,209","$1,467 ",0.38%,"3.52, 1.95, 1.78, 1.67, 1.62"," 16.3, 7.6,3,2.75,2.47"
41,Chile,"China, US, Japan, SK, Brazil","China, US, Brazil, Germany, Argentina",South America,"$277,075,944,402 ",1.49%,"18,470,439","$15,001 ",0.34%,"25.3, 10.6, 7.06, 4.39, 3.39"," 16.7,13.8,6.45,3.22,3.05"
42,Finland,"Germany, Sweden, US, Netherlands, China","Germany, Russia, Sweden, Netherlands, China",Europe,"$252,301,837,573 ",2.63%,"5,511,371","$45,778 ",0.31%,"11.1, 7.46, 5.93, 5.03, 4.21"," 12.4,10.3,9.41,4.75,4.44"
43,Bangladesh,"Germany, US, UK, Spain, Netherlands","China, India, Singapore, Malaysia, Indonesia",Europe,"$249,723,862,487 ",7.28%,"159,685,424","$1,564 ",0.31%,"6.88, 6.23, 3.7, 3.21, 3.06"," 17.7,8.54,3.34,2.09,1.89"
44,Egypt,"Italy, US, Turkey, UAE, Saudi","China, Russia, US, Germany, Saudi",Middle East,"$235,369,129,338 ",4.18%,"96,442,591","$2,441 ",0.29%,"2.67, 2.48, 2.41, 2, 1.6"," 12.3,7.75,4.93,3.83, 3.53"
45,Vietnam,"China, US, Japan, SK, Germany","China, SK, Japan, Thailand, Singapore",South America,"$223,779,865,815 ",6.81%,"94,600,648","$2,366 ",0.28%,"53.8, 49.5, 20.3, 19.4, 11.2"," 83.3,48.6,15.6,13,11.8"
46,Portugal,"Spain, France, Germany, UK, US","Spain, Germany, France, Italy, Netherlands",Europe,"$219,308,128,887 ",2.68%,"10,288,527","$21,316 ",0.27%,"16.8, 9.07, 8.44, 4.79, 3.76"," 27.2,11.9,6.63,5.01,4.58"
47,CR,"Germany, Germany, Poland, France, UK","Germany, China, Poland, Germany, Italy",Europe,"$215,913,545,038 ",4.29%,"10,641,034","$20,291 ",0.27%,"63.7, 14.3, 11.9, 10.2, 9.2"," 49.2,19,16.1,10.6,7.62"
48,Romania,"Germany, Italy, France, UK, UK","Germany, Italy, Italy, Poland, China",Europe,"$211,883,923,504 ",7.26%,"19,653,969","$10,781 ",0.26%,"18.3, 8.8, 5.51, 3.41, 3.36"," 18.6,9.14,6.18,5.42,4.99"
49,Peru,"China, US, India, SK, Japan","China, US, Brazil, Mexico, Chile",South America,"$211,389,272,242 ",2.53%,"31,444,298","$6,723 ",0.26%,"13.3, 8.02, 2.49, 2.47, 2.18"," 9.28,9.25,2.19,1.81,1.71"
50,Taiwan,"China, HK, US, Japan, Singapore","China, Japan, SK, US, Singapore",Asia,"$605,000,000,000 ",3.92%,"23,834,115","$25,383 ",0.74%,"97.4, 42, 41.6, 23.9, 22"," 49.5,41.1,31.2,20.6,10.5"
